investigation	investigation#	investigation+N+SG
agreements	agreement^s#	agreement+N+PL
provisions	provision^s#	provision+N+PL
legislation	legislation#	legislation+N+SG
limitations	limitation^s#	limitation+N+PL
amount	amount#	amount+N+SG
principal	principal#	principal+N+SG
award	award#	award+N+SG
interests	interest^s#	interest+N+PL
awards	award^s#	award+N+PL
interest	interest#	interest+N+SG
accordance	accordance#	accordance+N+SG
award	award#	award+N+SG
payments	payment^s#	payment+N+PL
applications	application^s#	application+N+PL
payments	payment^s#	payment+N+PL
accordance	accordance#	accordance+N+SG
regulations	regulation^s#	regulation+N+PL
amount	amount#	amount+N+SG
payment	payment#	payment+N+SG
subsection	subsection#	subsection+N+SG
reimbursement	reimbursement#	reimbursement+N+SG
expenses	expens^s#	expens+N+PL
amount	amount#	amount+N+SG
centum	centum#	centum+N+SG
payment	payment#	payment+N+SG
credit	credit#	credit+N+SG
receipts	receipt^s#	receipt+N+PL
Payments	payment^s#	payment+N+PL
person	person#	person+N+SG
persons	person^s#	person+N+PL
behalf	behalf#	behalf+N+SG
award	award#	award+N+SG
person	person#	person+N+SG
disability	disability#	disability+N+SG
payment	payment#	payment+N+SG
representative	representative#	representative+N+SG
total	total#	total+N+SG
award	award#	award+N+SG
executor	executor#	executor+N+SG
administrator	administrator#	administrator+N+SG
payment	payment#	payment+N+SG
person	person#	person+N+SG
persons	person^s#	person+N+PL
necessity	necessity#	necessity+N+SG
compliance	compliance#	compliance+N+SG
requirements	requirement^s#	requirement+N+PL
law	law#	law+N+SG
respect	respect#	respect+N+SG
administration	administration#	administration+N+SG
estates	estate^s#	estate+N+PL
case	case#	case+N+SG
partnership	partnership#	partnership+N+SG
corporation	corporation#	corporation+N+SG
existence	existence#	existence+N+SG
behalf	behalf#	behalf+N+SG
award	award#	award+N+SG
payment	payment#	payment+N+SG
paragraphs	paragraph^s#	paragraph+N+PL
person	person#	person+N+SG
persons	person^s#	person+N+PL
receiver	receiver#	receiver+N+SG
trustee	trustee#	trustee+N+SG
partnership	partnership#	partnership+N+SG
corporation	corporation#	corporation+N+SG
court	court#	court+N+SG
jurisdiction	jurisdiction#	jurisdiction+N+SG
date	date#	date+N+SG
payment	payment#	payment+N+SG
payment	payment#	payment+N+SG
receiver	receiver#	receiver+N+SG
trustee	trustee#	trustee+N+SG
accordance	accordance#	accordance+N+SG
order	order#	order+N+SG
court	court#	court+N+SG
receiver	receiver#	receiver+N+SG
trustee	trustee#	trustee+N+SG
partnership	partnership#	partnership+N+SG
corporation	corporation#	corporation+N+SG
court	court#	court+N+SG
jurisdiction	jurisdiction#	jurisdiction+N+SG
assignment	assignment#	assignment+N+SG
claim	claim#	claim+N+SG
part	part#	part+N+SG
respect	respect#	respect+N+SG
award	award#	award+N+SG
assignment	assignment#	assignment+N+SG
award	award#	award+N+SG
part	part#	part+N+SG
payment	payment#	payment+N+SG
assignee	assignee#	assignee+N+SG
interest	interest#	interest+N+SG
case	case#	case+N+SG
assignment	assignment#	assignment+N+SG
award	award#	award+N+SG
part	part#	part+N+SG
award	award#	award+N+SG
payment	payment#	payment+N+SG
discretion	discretion#	discretion+N+SG
assignee	assignee#	assignee+N+SG
interest	interest#	interest+N+SG
case	case#	case+N+SG
person	person#	person+N+SG
payment	payment#	payment+N+SG
payment	payment#	payment+N+SG
person	person#	person+N+SG
bar	bar#	bar+N+SG
recovery	recovery#	recovery+N+SG
person	person#	person+N+SG
officers	officer^s#	officer+N+PL
agents	agent^s#	agent+N+PL
employees	employee^s#	employee+N+PL
respect	respect#	respect+N+SG
payment	payment#	payment+N+SG
person	person#	person+N+SG
application	application#	application+N+SG
payment	payment#	payment+N+SG
provisions	provision^s#	provision+N+PL
assumption	assumption#	assumption+N+SG
liability	liability#	liability+N+SG
payment	payment#	payment+N+SG
satisfaction	satisfaction#	satisfaction+N+SG
whole	whole#	whole+N+SG
part	part#	part+N+SG
claim	claim#	claim+N+SG
behalf	behalf#	behalf+N+SG
national	national#	national+N+SG
government	government#	government+N+SG
fund	fund#	fund+N+SG
funds	fund^s#	fund+N+PL
discretion	discretion#	discretion+N+SG
claims	claim^s#	claim+N+PL
fund	fund#	fund+N+SG
name	name#	name+N+SG
government	government#	government+N+SG
settlement	settlement#	settlement+N+SG
agreement	agreement#	agreement+N+SG
subsection	subsection#	subsection+N+SG
credit	credit#	credit+N+SG
fund	fund#	fund+N+SG
funds	fund^s#	fund+N+PL
payments	payment^s#	payment+N+PL
fund	fund#	fund+N+SG
case	case#	case+N+SG
amounts	amount^s#	amount+N+PL
credit	credit#	credit+N+SG
funds	fund^s#	fund+N+PL
making	making#	making+N+SG
payments	payment^s#	payment+N+PL
sum	sum#	sum+N+SG
amount	amount#	amount+N+SG
fund	fund#	fund+N+SG
purpose	purpose#	purpose+N+SG
subsection	subsection#	subsection+N+SG
section	section#	section+N+SG
amounts	amount^s#	amount+N+PL
dollars	dollar^s#	dollar+N+PL
government	government#	government+N+SG
claims	claim^s#	claim+N+PL
settlement	settlement#	settlement+N+SG
agreement	agreement#	agreement+N+SG
subsection	subsection#	subsection+N+SG
sums	sum^s#	sum+N+PL
funds	fund^s#	fund+N+PL
subsection	subsection#	subsection+N+SG
section	section#	section+N+SG
deduction	deduction#	deduction+N+SG
payments	payment^s#	payment+N+PL
full	full#	full+N+SG
principal	principal#	principal+N+SG
awards	award^s#	award+N+PL
payments	payment^s#	payment+N+PL
principal	principal#	principal+N+SG
award	award#	award+N+SG
principal	principal#	principal+N+SG
amount	amount#	amount+N+SG
payment	payment#	payment+N+SG
centum	centum#	centum+N+SG
principal	principal#	principal+N+SG
awards	award^s#	award+N+PL
principal	principal#	principal+N+SG
amount	amount#	amount+N+SG
payments	payment^s#	payment+N+PL
paragraphs	paragraph^s#	paragraph+N+PL
subsection	subsection#	subsection+N+SG
payments	payment^s#	payment+N+PL
time	time#	time+N+SG
time	time#	time+N+SG
proportions	proportion^s#	proportion+N+PL
account	account#	account+N+SG
principal	principal#	principal+N+SG
awards	award^s#	award+N+PL
principal	principal#	principal+N+SG
amount	amount#	amount+N+SG
proportions	proportion^s#	proportion+N+PL
principal	principal#	principal+N+SG
awards	award^s#	award+N+PL
total	total#	total+N+SG
amount	amount#	amount+N+SG
fund	fund#	fund+N+SG
distribution	distribution#	distribution+N+SG
time	time#	time+N+SG
payments	payment^s#	payment+N+PL
payment	payment#	payment+N+SG
principal	principal#	principal+N+SG
amounts	amount^s#	amount+N+PL
awards	award^s#	award+N+PL
payments	payment^s#	payment+N+PL
account	account#	account+N+SG
interest	interest#	interest+N+SG
awards	award^s#	award+N+PL
interest	interest#	interest+N+SG
concurrence	concurrence#	concurrence+N+SG
sum	sum#	sum+N+SG
subsection	subsection#	subsection+N+SG
section	section#	section+N+SG
payments	payment^s#	payment+N+PL
funds	fund^s#	fund+N+PL
subsection	subsection#	subsection+N+SG
payment	payment#	payment+N+SG
balance	balance#	balance+N+SG
sum	sum#	sum+N+SG
fund	fund#	fund+N+SG
extent	extent#	extent+N+SG
total	total#	total+N+SG
cost	cost#	cost+N+SG
adjudication	adjudication#	adjudication+N+SG
claimants	claimant^s#	claimant+N+PL
certification	certification#	certification+N+SG
official	official#	official+N+SG
department	department#	department+N+SG
agency	agency#	agency+N+SG
establishment	establishment#	establishment+N+SG
money	money#	money+N+SG
sums	sum^s#	sum+N+PL
functions	function^s#	function+N+PL
years	year^s#	year+N+PL
commuter	commuter#	commuter+N+SG
railroads	railroad^s#	railroad+N+PL
areas	area^s#	area+N+PL
kind	kind#	kind+N+SG
service	service#	service+N+SG
population	population#	population+N+SG
causes	caus^s#	caus+N+PL
decline	decline#	decline+N+SG
commuter	commuter#	commuter+N+SG
railroads	railroad^s#	railroad+N+PL
taxes	tax^s#	tax+N+PL
losses	loss^s#	loss+N+PL
revenue	revenue#	revenue+N+SG
highway	highway#	highway+N+SG
air	air#	air+N+SG
carriers	carrier^s#	carrier+N+PL
solutions	solution^s#	solution+N+PL
problems	problem^s#	problem+N+PL
commuter	commuter#	commuter+N+SG
lines	line^s#	line+N+PL
way	way#	way+N+SG
ownership	ownership#	ownership+N+SG
discontinuance	discontinuance#	discontinuance+N+SG
service	service#	service+N+SG
number	number#	number+N+SG
plans	plan^s#	plan+N+PL
commuter	commuter#	commuter+N+SG
railroad	railroad#	railroad+N+SG
service	service#	service+N+SG
hand	hand#	hand+N+SG
number	number#	number+N+SG
people	people#	people+N+SG
areas	area^s#	area+N+PL
day	day#	day+N+SG
total	total#	total+N+SG
rail	rail#	rail+N+SG
commutation	commutation#	commutation+N+SG
decline	decline#	decline+N+SG
area	area#	area+N+SG
carriers	carrier^s#	carrier+N+PL
percent	percent#	percent+N+SG
passengers	passenger^s#	passenger+N+PL
time	time#	time+N+SG
crisis	crisi^s#	crisi+N+PL
commuter	commuter#	commuter+N+SG
railroads	railroad^s#	railroad+N+PL
threat	threat#	threat+N+SG
operations	operation^s#	operation+N+PL
form	form#	form+N+SG
proposal	proposal#	proposal+N+SG
control	control#	control+N+SG
railroads	railroad^s#	railroad+N+PL
control	control#	control+N+SG
total	total#	total+N+SG
points	point^s#	point+N+PL
common	common#	common+N+SG
kind	kind#	kind+N+SG
duplication	duplication#	duplication+N+SG
system	system#	system+N+SG
ability	ability#	ability+N+SG
freight	freight#	freight+N+SG
traffic	traffic#	traffic+N+SG
railroads	railroad^s#	railroad+N+PL
area	area#	area+N+SG
freight	freight#	freight+N+SG
traffic	traffic#	traffic+N+SG
backbone	backbone#	backbone+N+SG
revenues	revenue^s#	revenue+N+PL
revenues	revenue^s#	revenue+N+PL
freight	freight#	freight+N+SG
passenger	passenger#	passenger+N+SG
service	service#	service+N+SG
system	system#	system+N+SG
area	area#	area+N+SG
commuter	commuter#	commuter+N+SG
terminal	terminal#	terminal+N+SG
freight	freight#	freight+N+SG
services	service^s#	service+N+PL
services	service^s#	service+N+PL
revenues	revenue^s#	revenue+N+PL
percent	percent#	percent+N+SG
commuter	commuter#	commuter+N+SG
traffic	traffic#	traffic+N+SG
operation	operation#	operation+N+SG
employees	employee^s#	employee+N+PL
commuter	commuter#	commuter+N+SG
traffic	traffic#	traffic+N+SG
blow	blow#	blow+N+SG
phase	phase#	phase+N+SG
operations	operation^s#	operation+N+PL
consequences	consequence^s#	consequence+N+PL
railroad	railroad#	railroad+N+SG
people	people#	people+N+SG
day	day#	day+N+SG
transportation	transportation#	transportation+N+SG
city	city#	city+N+SG
alternative	alternative#	alternative+N+SG
merger	merger#	merger+N+SG
scheme	scheme#	scheme+N+SG
logic	logic#	logic+N+SG
railroad	railroad#	railroad+N+SG
service	service#	service+N+SG
approach	approach#	approach+N+SG
studies	study^s#	study+N+PL
plan	plan#	plan+N+SG
completion	completion#	completion+N+SG
studies	study^s#	study+N+PL
doubt	doubt#	doubt+N+SG
savings	saving^s#	saving+N+PL
benefit	benefit#	benefit+N+SG
railroads	railroad^s#	railroad+N+PL
investors	investor^s#	investor+N+PL
customers	customer^s#	customer+N+PL
users	user^s#	user+N+PL
public	public#	public+N+SG
studies	study^s#	study+N+PL
face	face#	face+N+SG
outlook	outlook#	outlook+N+SG
negotiations	negotiation^s#	negotiation+N+PL
situation	situation#	situation+N+SG
light	light#	light+N+SG
facts	fact^s#	fact+N+PL
hand	hand#	hand+N+SG
objective	objective#	objective+N+SG
railroad	railroad#	railroad+N+SG
structure	structure#	structure+N+SG
public	public#	public+N+SG
interest	interest#	interest+N+SG
deliberations	deliberation^s#	deliberation+N+PL
merger	merger#	merger+N+SG
commuter	commuter#	commuter+N+SG
operations	operation^s#	operation+N+PL
advantages	advantage^s#	advantage+N+PL
lines	line^s#	line+N+PL
consideration	consideration#	consideration+N+SG
merger	merger#	merger+N+SG
profit	profit#	profit+N+SG
loss	los^s#	los+N+PL
interest	interest#	interest+N+SG
years	year^s#	year+N+PL
railway	railway#	railway+N+SG
system	system#	system+N+SG
alternatives	alternative^s#	alternative+N+PL
commuter	commuter#	commuter+N+SG
merger	merger#	merger+N+SG
merger	merger#	merger+N+SG
interest	interest#	interest+N+SG
stockholders	stockholder^s#	stockholder+N+PL
interests	interest^s#	interest+N+PL
public	public#	public+N+SG
tribute	tribute#	tribute+N+SG
newspaper	newspaper#	newspaper+N+SG
occasion	occasion#	occasion+N+SG
change	change#	change+N+SG
top	top#	top+N+SG
executive	executive#	executive+N+SG
command	command#	command+N+SG
publisher	publisher#	publisher+N+SG
newspaper	newspaper#	newspaper+N+SG
notice	notice#	notice+N+SG
contribution	contribution#	contribution+N+SG
journalism	journalism#	journalism+N+SG
occasion	occasion#	occasion+N+SG
retirement	retirement#	retirement+N+SG
chairman	chairman#	chairman+N+SG
board	board#	board+N+SG
successor	successor#	successor+N+SG
publisher	publisher#	publisher+N+SG
president	president#	president+N+SG
career	career#	career+N+SG
journalist	journalist#	journalist+N+SG
standards	standard^s#	standard+N+PL
newspapers	newspaper^s#	newspaper+N+PL
member	member#	member+N+SG
staff	staff#	staff+N+SG
editorial	editorial#	editorial+N+SG
page	page#	page+N+SG
editor	editor#	editor+N+SG
editor	editor#	editor+N+SG
editor	editor#	editor+N+SG
time	time#	time+N+SG
tribute	tribute#	tribute+N+SG
occasion	occasion#	occasion+N+SG
retirement	retirement#	retirement+N+SG
careers	career^s#	career+N+PL
journalism	journalism#	journalism+N+SG
congratulations	congratulation^s#	congratulation+N+PL
successors	successor^s#	successor+N+PL
tradition	tradition#	tradition+N+SG
people	people#	people+N+SG
pride	pride#	pride+N+SG
newspapers	newspaper^s#	newspaper+N+PL
world	world#	world+N+SG
newsletter	newsletter#	newsletter+N+SG
constituents	constituent^s#	constituent+N+PL
imposition	imposition#	imposition+N+SG
blockade	blockade#	blockade+N+SG
method	method#	method+N+SG
armaments	armament^s#	armament+N+PL
violation	violation#	violation+N+SG
privilege	privilege#	privilege+N+SG
article	article#	article+N+SG
type	type#	type+N+SG
action	action#	action+N+SG
detail	detail#	detail+N+SG
advantages	advantage^s#	advantage+N+PL
disadvantages	disadvantage^s#	disadvantage+N+PL
leave	leave#	leave+N+SG
remarks	remark^s#	remark+N+PL
portion	portion#	portion+N+SG
newsletter	newsletter#	newsletter+N+SG
text	text#	text+N+SG
article	article#	article+N+SG
setbacks	setback^s#	setback+N+PL
attempt	attempt#	attempt+N+SG
rebels	rebel^s#	rebel+N+PL
beachhead	beachhead#	beachhead+N+SG
mainland	mainland#	mainland+N+SG
week	week#	week+N+SG
benefit	benefit#	benefit+N+SG
revelation	revelation#	revelation+N+SG
world	world#	world+N+SG
conversion	conversion#	conversion+N+SG
base	base#	base+N+SG
fact	fact#	fact+N+SG
reasons	reason^s#	reason+N+PL
failure	failure#	failure+N+SG
expedition	expedition#	expedition+N+SG
lack	lack#	lack+N+SG
information	information#	information+N+SG
extent	extent#	extent+N+SG
equipment	equipment#	equipment+N+SG
pictures	picture^s#	picture+N+PL
stories	story^s#	story+N+PL
tanks	tank^s#	tank+N+PL
beaches	beach^s#	beach+N+PL
jet	jet#	jet+N+SG
fighters	fighter^s#	fighter+N+PL
rebel	rebel#	rebel+N+SG
troops	troop^s#	troop+N+PL
truth	truth#	truth+N+SG
base	base#	base+N+SG
miles	mile^s#	mile+N+PL
home	home#	home+N+SG
tanks	tank^s#	tank+N+PL
planes	plane^s#	plane+N+PL
security	security#	security+N+SG
security	security#	security+N+SG
republic	republic#	republic+N+SG
extent	extent#	extent+N+SG
penetration	penetration#	penetration+N+SG
action	action#	action+N+SG
republics	republic^s#	republic+N+PL
feet	feet#	feet+N+SG
action	action#	action+N+SG
week	week#	week+N+SG
years	year^s#	year+N+PL
countries	country^s#	country+N+PL
representative	representative#	representative+N+SG
talks	talk^s#	talk+N+PL
pictures	picture^s#	picture+N+PL
tanks	tank^s#	tank+N+PL
job	job#	job+N+SG
atmosphere	atmosphere#	atmosphere+N+SG
urgency	urgency#	urgency+N+SG
week	week#	week+N+SG
example	example#	example+N+SG
efforts	effort^s#	effort+N+PL
support	support#	support+N+SG
actions	action^s#	action+N+PL
efforts	effort^s#	effort+N+PL
way	way#	way+N+SG
support	support#	support+N+SG
actions	action^s#	action+N+PL
move	move#	move+N+SG
time	time#	time+N+SG
course	course#	course+N+SG
blockade	blockade#	blockade+N+SG
weapons	weapon^s#	weapon+N+PL
possibility	possibility#	possibility+N+SG
missiles	missile^s#	missile+N+PL
talk	talk#	talk+N+SG
blockade	blockade#	blockade+N+SG
line	line#	line+N+SG
operation	operation#	operation+N+SG
end	end#	end+N+SG
penetration	penetration#	penetration+N+SG
hemisphere	hemisphere#	hemisphere+N+SG
arms	arm^s#	arm+N+PL
agents	agent^s#	agent+N+PL
Blockade	blockade#	blockade+N+SG
answer	answer#	answer+N+SG
experts	expert^s#	expert+N+PL
way	way#	way+N+SG
infiltration	infiltration#	infiltration+N+SG
question	question#	question+N+SG
stop	stop#	stop+N+SG
buildup	buildup#	buildup+N+SG
infiltration	infiltration#	infiltration+N+SG
hemisphere	hemisphere#	hemisphere+N+SG
total	total#	total+N+SG
embargo	embargo#	embargo+N+SG
trade	trade#	trade+N+SG
aim	aim#	aim+N+SG
economy	economy#	economy+N+SG
strategy	strategy#	strategy+N+SG
notice	notice#	notice+N+SG
air	air#	air+N+SG
blockade	blockade#	blockade+N+SG
world	world#	world+N+SG
Blockade	blockade#	blockade+N+SG
view	view#	view+N+SG
experts	expert^s#	expert+N+PL
teeth	teeth#	teeth+N+SG
flood	flood#	flood+N+SG
arms	arm^s#	arm+N+PL
supplies	supply^s#	supply+N+PL
guns	gun^s#	gun+N+PL
propaganda	propaganda#	propaganda+N+SG
materials	material^s#	material+N+PL
reprisal	reprisal#	reprisal+N+SG
war	war#	war+N+SG
strategy	strategy#	strategy+N+SG
blockade	blockade#	blockade+N+SG
center	center#	center+N+SG
attention	attention#	attention+N+SG
administration	administration#	administration+N+SG
officials	official^s#	official+N+PL
officers	officer^s#	officer+N+PL
course	course#	course+N+SG
action	action#	action+N+SG
center	center#	center+N+SG
debate	debate#	debate+N+SG
questions	question^s#	question+N+PL
questions	question^s#	question+N+PL
experts	expert^s#	expert+N+PL
blockade	blockade#	blockade+N+SG
ports	port^s#	port+N+PL
approaches	approach^s#	approach+N+PL
waters	water^s#	water+N+PL
task	task#	task+N+SG
forces	force^s#	force+N+PL
aircraft	aircraft#	aircraft+N+SG
carrier	carrier#	carrier+N+SG
complement	complement#	complement+N+SG
planes	plane^s#	plane+N+PL
destroyers	destroyer^s#	destroyer+N+PL
carrier	carrier#	carrier+N+SG
number	number#	number+N+SG
attack	attack#	attack+N+SG
carriers	carrier^s#	carrier+N+PL
vicinity	vicinity#	vicinity+N+SG
ships	ship^s#	ship+N+PL
time	time#	time+N+SG
force	force#	force+N+SG
submarines	submarine^s#	submarine+N+PL
vessels	vessel^s#	vessel+N+PL
radar	radar#	radar+N+SG
task	task#	task+N+SG
radar	radar#	radar+N+SG
picket	picket#	picket+N+SG
ships	ship^s#	ship+N+PL
squadron	squadron#	squadron+N+SG
jets	jet^s#	jet+N+PL
patrol	patrol#	patrol+N+SG
planes	plane^s#	plane+N+PL
support	support#	support+N+SG
carrier	carrier#	carrier+N+SG
task	task#	task+N+SG
forces	force^s#	force+N+PL
requirements	requirement^s#	requirement+N+PL
blockade	blockade#	blockade+N+SG
force	force#	force+N+SG
discrimination	discrimination#	discrimination+N+SG
conditions	condition^s#	condition+N+PL
law	law#	law+N+SG
countries	country^s#	country+N+PL
blockade	blockade#	blockade+N+SG
risk	risk#	risk+N+SG
Blockade	blockade#	blockade+N+SG
runners	runner^s#	runner+N+PL
gunfire	gunfire#	gunfire+N+SG
ports	port^s#	port+N+PL
rulings	ruling^s#	ruling+N+PL
cargo	cargo#	cargo+N+SG
Plenty	plenty#	plenty+N+SG
experts	expert^s#	expert+N+PL
sense	sense#	sense+N+SG
interference	interference#	interference+N+SG
intervention	intervention#	intervention+N+SG
strategy	strategy#	strategy+N+SG
infiltration	infiltration#	infiltration+N+SG
target	target#	target+N+SG
shipments	shipment^s#	shipment+N+PL
tanks	tank^s#	tank+N+PL
guns	gun^s#	gun+N+PL
aviation	aviation#	aviation+N+SG
gasoline	gasoline#	gasoline+N+SG
ammunition	ammunition#	ammunition+N+SG
Shipments	shipment^s#	shipment+N+PL
arms	arm^s#	arm+N+PL
countries	country^s#	country+N+PL
contraband	contraband#	contraband+N+SG
total	total#	total+N+SG
blockade	blockade#	blockade+N+SG
action	action#	action+N+SG
ships	ship^s#	ship+N+PL
chemicals	chemical^s#	chemical+N+PL
oils	oil^s#	oil+N+PL
textiles	textile^s#	textile+N+PL
foodstuffs	foodstuff^s#	foodstuff+N+PL
times	time^s#	time+N+PL
ships	ship^s#	ship+N+PL
day	day#	day+N+SG
bloc	bloc#	bloc+N+SG
ports	port^s#	port+N+PL
inception	inception#	inception+N+SG
passage	passage#	passage+N+SG
purpose	purpose#	purpose+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
program	program#	program+N+SG
means	mean^s#	mean+N+PL
men	men#	men+N+SG
women	women#	women+N+SG
employment	employment#	employment+N+SG
authority	authority#	authority+N+SG
program	program#	program+N+SG
times	time^s#	time+N+PL
rehabilitation	rehabilitation#	rehabilitation+N+SG
program	program#	program+N+SG
time	time#	time+N+SG
years	year^s#	year+N+PL
services	service^s#	service+N+PL
persons	person^s#	person+N+PL
placement	placement#	placement+N+SG
job	job#	job+N+SG
limitations	limitation^s#	limitation+N+PL
program	program#	program+N+SG
concept	concept#	concept+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
provision	provision#	provision+N+SG
restoration	restoration#	restoration+N+SG
services	service^s#	service+N+PL
disabilities	disability^s#	disability+N+PL
structure	structure#	structure+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
persons	person^s#	person+N+PL
years	year^s#	year+N+PL
program	program#	program+N+SG
backlog	backlog#	backlog+N+SG
individuals	individual^s#	individual+N+PL
employment	employment#	employment+N+SG
extent	extent#	extent+N+SG
capabilities	capability^s#	capability+N+PL
amendments	amendment^s#	amendment+N+PL
rehabilitation	rehabilitation#	rehabilitation+N+SG
facilities	facility^s#	facility+N+PL
workshops	workshop^s#	workshop+N+PL
numbers	number^s#	number+N+PL
personnel	personnel#	personnel+N+SG
services	service^s#	service+N+PL
individuals	individual^s#	individual+N+PL
improvements	improvement^s#	improvement+N+PL
effectiveness	effectivenes^s#	effectivenes+N+PL
law	law#	law+N+SG
grants	grant^s#	grant+N+PL
basis	basi^s#	basi+N+PL
population	population#	population+N+SG
expenditures	expenditure^s#	expenditure+N+PL
basis	basi^s#	basi+N+PL
responsibility	responsibility#	responsibility+N+SG
expenditures	expenditure^s#	expenditure+N+PL
connection	connection#	connection+N+SG
administration	administration#	administration+N+SG
counseling	counseling#	counseling+N+SG
placement	placement#	placement+N+SG
costs	cost^s#	cost+N+PL
clients	client^s#	client+N+PL
rehabilitation	rehabilitation#	rehabilitation+N+SG
case	case#	case+N+SG
services	service^s#	service+N+PL
years	year^s#	year+N+PL
authorization	authorization#	authorization+N+SG
sums	sum^s#	sum+N+PL
provisions	provision^s#	provision+N+PL
financing	financing#	financing+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
program	program#	program+N+SG
grant	grant#	grant+N+SG
structure	structure#	structure+N+SG
support	support#	support+N+SG
extension	extension#	extension+N+SG
improvement	improvement#	improvement+N+SG
research	research#	research+N+SG
demonstrations	demonstration^s#	demonstration+N+PL
traineeships	traineeship^s#	traineeship+N+PL
rehabilitation	rehabilitation#	rehabilitation+N+SG
addition	addition#	addition+N+SG
training	training#	training+N+SG
instruction	instruction#	instruction+N+SG
part	part#	part+N+SG
structure	structure#	structure+N+SG
program	program#	program+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
services	service^s#	service+N+PL
sections	section^s#	section+N+PL
grants	grant^s#	grant+N+PL
categories	category^s#	category+N+PL
grant	grant#	grant+N+SG
structure	structure#	structure+N+SG
table	table#	table+N+SG
years	year^s#	year+N+PL
authorizations	authorization^s#	authorization+N+PL
appropriations	appropriation^s#	appropriation+N+PL
allotment	allotment#	allotment+N+SG
base	base#	base+N+SG
grants	grant^s#	grant+N+PL
funds	fund^s#	fund+N+PL
part	part#	part+N+SG
grant	grant#	grant+N+SG
program	program#	program+N+SG
order	order#	order+N+SG
rehabilitation	rehabilitation#	rehabilitation+N+SG
services	service^s#	service+N+PL
allotments	allotment^s#	allotment+N+PL
support	support#	support+N+SG
services	service^s#	service+N+PL
need	need#	need+N+SG
population	population#	population+N+SG
capacity	capacity#	capacity+N+SG
capita	capita#	capita+N+SG
income	income#	income+N+SG
floor	floor#	floor+N+SG
allotment	allotment#	allotment+N+SG
level	level#	level+N+SG
base	base#	base+N+SG
allotment	allotment#	allotment+N+SG
ceiling	ceiling#	ceiling+N+SG
allotment	allotment#	allotment+N+SG
addition	addition#	addition+N+SG
amounts	amount^s#	amount+N+PL
result	result#	result+N+SG
ceiling	ceiling#	ceiling+N+SG
floor	floor#	floor+N+SG
maximums	maximum^s#	maximum+N+PL
provisions	provision^s#	provision+N+PL
differences	difference^s#	difference+N+PL
wealth	wealth#	wealth+N+SG
population	population#	population+N+SG
objective	objective#	objective+N+SG
person	person#	person+N+SG
access	acces^s#	acces+N+PL
services	service^s#	service+N+PL
capita	capita#	capita+N+SG
income	income#	income+N+SG
provisions	provision^s#	provision+N+PL
disruption	disruption#	disruption+N+SG
programs	program^s#	program+N+PL
operation	operation#	operation+N+SG
allotment	allotment#	allotment+N+SG
funds	fund^s#	fund+N+PL
basis	basi^s#	basi+N+PL
wealth	wealth#	wealth+N+SG
population	population#	population+N+SG
method	method#	method+N+SG
allotments	allotment^s#	allotment+N+PL
term	term#	term+N+SG
term	term#	term+N+SG
steps	step^s#	step+N+PL
calculations	calculation^s#	calculation+N+PL
capita	capita#	capita+N+SG
income	income#	income+N+SG
years	year^s#	year+N+PL
capita	capita#	capita+N+SG
income	income#	income+N+SG
data	data#	data+N+SG
step	step#	step+N+SG
capita	capita#	capita+N+SG
income	income#	income+N+SG
years	year^s#	year+N+PL
capita	capita#	capita+N+SG
income	income#	income+N+SG
data	data#	data+N+SG
step	step#	step+N+SG
ratio	ratio#	ratio+N+SG
capita	capita#	capita+N+SG
income	income#	income+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
percentage	percentage#	percentage+N+SG
ratio	ratio#	ratio+N+SG
capita	capita#	capita+N+SG
income	income#	income+N+SG
capita	capita#	capita+N+SG
income	income#	income+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
allotment	allotment#	allotment+N+SG
percentage	percentage#	percentage+N+SG
law	law#	law+N+SG
allotment	allotment#	allotment+N+SG
percentages	percentage^s#	percentage+N+PL
effect	effect#	effect+N+SG
year	year#	year+N+SG
difference	difference#	difference+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
allotment	allotment#	allotment+N+SG
percentage	percentage#	percentage+N+SG
difference	difference#	difference+N+SG
extremes	extreme^s#	extreme+N+PL
allotment	allotment#	allotment+N+SG
percentage	percentage#	percentage+N+SG
extreme	extreme#	extreme+N+SG
allotment	allotment#	allotment+N+SG
percentage	percentage#	percentage+N+SG
population	population#	population+N+SG
population	population#	population+N+SG
data	data#	data+N+SG
step	step#	step+N+SG
population	population#	population+N+SG
square	square#	square+N+SG
allotment	allotment#	allotment+N+SG
percentage	percentage#	percentage+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
result	result#	result+N+SG
item	item#	item+N+SG
sum	sum#	sum+N+SG
products	product^s#	product+N+PL
item	item#	item+N+SG
computations	computation^s#	computation+N+PL
items	item^s#	item+N+PL
results	result^s#	result+N+PL
item	item#	item+N+SG
ratio	ratio#	ratio+N+SG
amount	amount#	amount+N+SG
sum	sum#	sum+N+SG
products	product^s#	product+N+PL
